ml_input,焦虑,悲伤,生气,羞愧,无助,平静,轻松
[事件]: 忘记重要纪念日惹伴侣生气 [认知]: 我根本不懂关心人，不配拥有爱情，只会伤害别人,10,85,0,90,80,0,0
[事件]: 运动时扭伤脚无法参加比赛 [认知]: 我身体太脆弱了，什么都做不成，就是个累赘,25,75,0,85,80,0,0
[事件]: 在餐厅打翻水杯弄湿衣服 [认知]: 我笨手笨脚什么都做不好，在公共场合总是出丑,75,55,0,90,80,0,0
[事件]: 恋爱三年男友突然提分手 [认知]: 是不是我性格太差，根本不适合谈恋爱，以后也不会有人真心爱我,75,90,5,80,85,0,0
[事件]: 面试时紧张到说不出话 [认知]: 我能力太差了，连基本沟通都做不好，这辈子都找不到好工作,90,85,0,85,90,0,0
[事件]: 朋友聚会没人主动联系我 [认知]: 我根本不受欢迎，大家其实都不喜欢我，只是表面客气,70,85,20,90,80,0,0
[事件]: 脸上长了很多痘痘 [认知]: 我长得太难看了，别人看到我的脸都会嫌弃，没人会喜欢我,85,80,0,90,85,0,0
[事件]: 信用卡欠款越来越多 [认知]: 我连自己的财务都管不好，真是个失败的人，永远过不上好日子,80,85,5,90,85,0,0
[事件]: 体检报告显示指标异常 [认知]: 我肯定得了重病，身体要垮了，人生就要完了,95,95,0,0,95,0,0
[事件]: 在会议上说错话被同事笑 [认知]: 我太蠢了，总是出洋相，同事肯定都在背后嘲笑我,85,40,0,95,75,0,0
[事件]: 父母总是拿我和别人比较 [认知]: 我真的不如别人，让父母失望，我是个没用的孩子,35,85,0,90,80,0,0
[事件]: 学了很久的技能还是没进步 [认知]: 我太笨了，根本没有学习能力，做什么都做不好,50,75,0,85,85,0,0
[事件]: 被喜欢的对象拒绝 [认知]: 我一点魅力都没有，根本不值得被爱，注定孤独一生,10,95,0,85,90,0,0
[事件]: 工作项目出现重大失误 [认知]: 我能力太差了，根本胜任不了这份工作，迟早会被开除,85,50,0,75,80,0,0
[事件]: 看到别人都结婚生子 [认知]: 我的人生进度太慢了，已经落后所有人，这辈子都赶不上了,80,80,0,65,85,0,0
[事件]: 在社交场合说错话冷场 [认知]: 我社交能力太差，总是破坏气氛，别人都不愿意和我相处,75,70,0,85,75,0,0
[事件]: 投资失败损失积蓄 [认知]: 我判断力太差，做什么决定都是错的，永远赚不到钱,25,85,0,95,95,0,0
[事件]: 家人住院需要照顾 [认知]: 我连家人都照顾不好，太没用了，根本不配做子女,30,75,40,90,85,0,0
[事件]: 看到同龄人事业有成 [认知]: 我的人生太失败了，什么都比不上别人，活着没什么意义,0,95,0,90,95,0,0
[事件]: 面试被拒后看到别人入职 [认知]: 我永远都找不到好工作，能力太差，这辈子就这样了。,20,95,0,80,95,0,0
[事件]: 朋友聚会没人主动联系我 [认知]: 我根本不重要，没人真心想和我做朋友，我就是个可有可无的人。,45,90,0,85,90,0,0
[事件]: 朋友聚会没叫我，看到他们朋友圈合照 [认知]: 所有人都讨厌我，我是个不受欢迎的人，根本没人真心想和我做朋友。,75,90,20,85,80,0,0
[事件]: 面试时大脑空白说不出话 [认知]: 我真是个废物，连基本沟通都做不到，这辈子找不到工作了,85,70,40,90,85,5,0
[事件]: 朋友聚会没人主动找我聊天 [认知]: 我太无趣了，大家都不喜欢我，我根本不适合社交,30,60,25,55,65,0,0
[事件]: 看到镜子里自己发胖的身材 [认知]: 我这么丑这么胖，没有人会真心喜欢我，活着真没意思,80,85,20,90,85,0,0
[事件]: 信用卡账单超出还款能力 [认知]: 我连钱都管不好，注定是个失败者，永远摆脱不了贫困,60,70,10,65,80,0,0
[事件]: 体检报告显示一项指标异常 [认知]: 我肯定得了绝症，马上就要死了，人生彻底完了,85,75,0,50,75,0,0
[事件]: 在电梯里遇到邻居没打招呼 [认知]: 我太没礼貌了，对方一定讨厌我了，以后见面会更尴尬,60,30,0,55,25,10,5
[事件]: 工作汇报被领导指出错误 [认知]: 我能力太差了，根本不配这个职位，迟早会被开除,80,60,40,85,75,0,0
[事件]: 暗恋对象和同事说笑很亲密 [认知]: 我永远比不上别人，根本不值得被爱，注定孤独一生,75,85,25,70,90,0,0
[事件]: 父母催婚说年纪不小了 [认知]: 我让家人失望了，是个不孝子，人生进度完全落后,60,50,10,70,65,5,0
[事件]: 网购商品与描述严重不符 [认知]: 我总是这么倒霉，做什么事都不顺利，世界在针对我,50,60,70,0,80,0,0
[事件]: 开会时手机突然响铃 [认知]: 我太丢脸了，所有人都觉得我没素质，形象彻底毁了,70,20,10,85,50,0,0
